Country,Mission,Success,Rocket,Success_Rate,Launches_Per_Year,Volume_Score,Success_Score,Diversity_Score,Momentum_Score,Space_Power_Index,Decade,Rank
Other,14,8,6,57.14285714285714,1.4,0.0,57.14285714285714,0.0,0.0,17.14,1960s,3
USA,320,249,45,77.8125,32.0,72.0,77.8125,100.0,72.0,79.34,1960s,2
USSR/Russia,439,355,23,80.86560364464692,43.9,100.0,80.86560364464692,43.59,100.0,82.98,1960s,1
China,16,11,3,68.75,1.6,1.36,68.75,4.76,1.36,22.26,1970s,6
France,8,6,2,75.0,0.8,0.37,75.0,0.0,0.37,22.68,1970s,5
Japan,5,4,2,80.0,0.5,0.0,80.0,0.0,0.0,24.0,1970s,4
Other,24,19,12,79.16666666666666,2.4,2.35,79.16666666666666,47.62,2.35,34.45,1970s,3
USA,143,130,23,90.9090909090909,14.3,17.06,90.9090909090909,100.0,17.06,55.8,1970s,2
USSR/Russia,814,767,21,94.22604422604422,81.4,100.0,94.22604422604422,90.48,100.0,96.36,1970s,1
China,15,14,4,93.33333333333333,1.5,2.09,93.33333333333333,11.11,2.09,31.27,1980s,6
Europe (ESA),25,23,5,92.0,2.5,4.42,92.0,16.67,4.42,33.14,1980s,4
India,6,2,2,33.33333333333333,0.6,0.0,33.33333333333333,0.0,0.0,10.0,1980s,7
Japan,15,15,7,100.0,1.5,2.09,100.0,27.78,2.09,36.6,1980s,3
Other,18,16,6,88.88888888888889,1.8,2.79,88.88888888888889,22.22,2.79,32.51,1980s,5
USA,115,105,20,91.30434782608695,11.5,25.35,91.30434782608695,100.0,25.35,60.07,1980s,2
USSR/Russia,436,415,11,95.18348623853211,43.6,100.0,95.18348623853211,50.0,100.0,88.56,1980s,1
China,39,33,9,84.61538461538461,3.9,12.64,84.61538461538461,17.07,12.64,35.12,1990s,6
Europe (ESA),88,85,7,96.5909090909091,8.8,31.42,96.5909090909091,12.2,31.42,47.13,1990s,3
India,6,4,2,66.66666666666666,0.6,0.0,66.66666666666666,0.0,0.0,20.0,1990s,8
Japan,14,12,5,85.71428571428571,1.4,3.07,85.71428571428571,7.32,3.07,28.71,1990s,7
Other,40,32,12,80.0,4.0,13.03,80.0,24.39,13.03,35.39,1990s,5
Russia,105,100,9,95.23809523809523,10.5,37.93,95.23809523809523,17.07,37.93,50.95,1990s,2
USA,267,247,43,92.50936329588015,26.7,100.0,92.50936329588015,100.0,100.0,97.75,1990s,1
USSR/Russia,77,72,9,93.5064935064935,7.7,27.2,93.5064935064935,17.07,27.2,45.07,1990s,4
China,55,53,13,96.36363636363636,5.5,29.24,96.36363636363636,29.27,29.24,49.38,2000s,3
Europe (ESA),78,75,12,96.15384615384616,7.8,42.69,96.15384615384616,26.83,42.69,55.56,2000s,2
India,16,13,4,81.25,1.6,6.43,81.25,7.32,6.43,29.05,2000s,8
International,28,26,1,92.85714285714286,2.8,13.45,92.85714285714286,0.0,13.45,34.58,2000s,6
Israel,5,3,3,60.0,0.5,0.0,60.0,4.88,0.0,18.98,2000s,9
Japan,17,16,5,94.11764705882352,1.7,7.02,94.11764705882352,9.76,7.02,33.7,2000s,7
Other,34,30,15,88.23529411764706,3.4,16.96,88.23529411764706,34.15,16.96,41.78,2000s,5
Russia,64,59,10,92.1875,6.4,34.5,92.1875,21.95,34.5,49.3,2000s,4
USA,176,168,42,95.45454545454545,17.6,100.0,95.45454545454545,100.0,100.0,98.64,2000s,1
China,121,114,25,94.21487603305785,12.1,53.0,94.21487603305785,66.67,53.0,68.1,2010s,2
Europe (ESA),98,95,8,96.93877551020408,9.8,42.4,96.93877551020408,19.44,42.4,54.17,2010s,4
India,47,44,8,93.61702127659575,4.7,18.89,93.61702127659575,19.44,18.89,41.42,2010s,5
International,6,5,1,83.33333333333334,0.6,0.0,83.33333333333334,0.0,0.0,25.0,2010s,9
Israel,13,6,5,46.15384615384615,1.3,3.23,46.15384615384615,11.11,3.23,17.68,2010s,10
Japan,37,36,7,97.2972972972973,3.7,14.29,97.2972972972973,16.67,14.29,39.67,2010s,6
New Zealand,10,9,2,90.0,1.0,1.84,90.0,2.78,1.84,28.48,2010s,7
Other,15,10,7,66.66666666666666,1.5,4.15,66.66666666666666,16.67,4.15,25.41,2010s,8
Russia,101,93,21,92.07920792079209,10.1,43.78,92.07920792079209,55.56,43.78,60.63,2010s,3
USA,223,218,37,97.75784753363229,22.3,100.0,97.75784753363229,100.0,100.0,99.33,2010s,1
China,121,113,25,93.38842975206612,12.1,85.19,93.38842975206612,100.0,85.19,90.61,2020s,2
Europe (ESA),27,26,5,96.29629629629629,2.7,15.56,96.29629629629629,13.04,15.56,39.28,2020s,4
India,6,5,4,83.33333333333334,0.6,0.0,83.33333333333334,8.7,0.0,26.74,2020s,7
Japan,7,7,4,100.0,0.7,0.74,100.0,8.7,0.74,32.11,2020s,5
New Zealand,18,16,2,88.88888888888889,1.8,8.89,88.88888888888889,0.0,8.89,31.11,2020s,6
Russia,37,35,11,94.5945945945946,3.7,22.96,94.5945945945946,39.13,22.96,47.68,2020s,3
USA,141,130,20,92.19858156028369,14.1,100.0,92.19858156028369,78.26,100.0,93.31,2020s,1
